phish_id,host,url,submission_time,target,online,httpstatus,phish_detail_url
12529,operating-intelligent-enhancements.scieron.com,http://operating-intelligent-enhancements.scieron.com/cutomer/nummer-translated/deskscene-management/,2018-01-07 06:43:34,Apple,dnserror,0,http://melani.admin.ch/
12528,wiliamqw.beget.tech,http://wiliamqw.beget.tech/videos/,2018-01-06 19:23:56,UBS,offline,404,http://melani.admin.ch/
12527,www.shtorkivdom.by,http://www.shtorkivdom.by/cli/navy/,2018-01-06 18:38:32,Navy Federal Credit Union,offline,403,http://melani.admin.ch/
12526,www.freethelovelyyou.com,http://www.freethelovelyyou.com//Blog/wp-content/themes/twentyeleven/hml.html,2018-01-06 18:38:27,Navy Federal Credit Union,online,301,http://melani.admin.ch/
12525,supertaynguyen.vn,http://supertaynguyen.vn/wp-includes/js/jcrop/.x/,2018-01-06 16:29:49,Credit Suisse,online,302,http://melani.admin.ch/
12524,cmbsos.org,http://cmbsos.org/d/www.paypal.com-webapps-account-selection-pay-online/PPLULZ/,2018-01-06 15:31:25,PayPal,offline,500,http://melani.admin.ch/
12523,megguess.com,http://megguess.com/wp-content/themes/bewe/d/,2018-01-06 15:31:21,PayPal,online,200,http://melani.admin.ch/
12522,adansmi6.beget.tech,http://adansmi6.beget.tech/videos/,2018-01-06 14:14:48,UBS,offline,404,http://melani.admin.ch/
12521,www.emissao.com.br,http://www.emissao.com.br/slide/-/lo/,2018-01-06 14:14:41,UBS,offline,404,http://melani.admin.ch/
12520,online-relaiunicreditcard.it.grupposicurezza.site,https://online-relaiunicreditcard.it.grupposicurezza.site/wps/portal-retail/main.app/,2018-01-06 12:20:33,UniCredit,offline,302,http://melani.admin.ch/
12519,ffdsfsd8de5spm3f.advantechnologies.com,http://ffdsfsd8de5spm3f.advantechnologies.com/.y/,2018-01-06 10:35:01,Credit Suisse,offline,404,http://melani.admin.ch/
12518,www.creditsuisse.ch.whatsappinc.my,http://www.creditsuisse.ch.whatsappinc.my/.+++/1/cs/,2018-01-06 10:34:21,Credit Suisse,offline,500,http://melani.admin.ch/
12517,www.behsazmashin.com,http://www.behsazmashin.com/xmlrpc/WhatsapAntivirus/whtsapavast/fe9176e6a0742dc925bb38edefe9b46d/,2018-01-06 10:25:38,Visa,online,200,http://melani.admin.ch/
12516,www.kokgriezeji.lv,http://www.kokgriezeji.lv/index3.php,2018-01-06 10:25:06,Visa,offline,403,http://melani.admin.ch/
