subnet_address;subnet_mask;subnet_last;subnet_gw;subnet_desc;subnet_domain;subnet_org;subnet_area;subnet_vlan;subnet_vdp;subnet_zone;subnet_color;subnet_sec;subnet_poll;subnet_alarm;subnet_report;date_added;date_seen;date_checked
010.162.033.000;255.255.255.0;010.162.033.255;010.162.033.254;Zuerich Beratungscenter chiffriert IPT;be.post.ch;RSP-Luzern;postnet;0680;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:12
010.162.034.000;255.255.255.0;010.162.034.255;010.162.034.254;Zuerich Beratungscenter chiffriert Client;zh.post.ch;RSP-Zuerich;postnet;0600;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:17
010.162.035.064;255.255.255.240;010.162.035.079;010.162.035.078;Zuerich Beratungscenter GA;zh.post.ch;RSP-Zuerich;postnet;0694;post.ch;undef;pink;---;1;1;1;2018-02-17 01:30:03;2019-02-08 01:40:12;2019-02-07 16:16:19
010.162.036.000;255.255.254.0;010.162.037.255;010.162.037.254;Oerlikon LC  IT_DHCP_8_Scanner;zh.post.ch;RSP-Zuerich;postnet;0607;post.ch;undef;white;---;1;0;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:19
010.162.040.000;255.255.255.252;010.162.040.003;undef;Oerlikon LC Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;undef;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:23
010.162.040.008;255.255.255.252;010.162.040.011;undef;Oerlikon LC Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;---;1;0;0;2018-01-19 01:30:02;2019-02-08 01:40:12;2019-02-07 16:16:23
010.162.040.016;255.255.255.240;010.162.040.031;undef;Oerlikon LC Transit-Sunrise;zh.post.ch;RSP-Zuerich;postnet;0900;post.ch;undef;gray;---;0;0;0;2018-04-06 01:30:03;2019-02-08 01:40:12;0000-00-00 00:00:00
010.162.040.048;255.255.255.248;010.162.040.055;undef;Oerlikon LC_FW_Synch;zh.post.ch;RSP-Zuerich;postnet;0909;post.ch;undef;gray;---;0;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;0000-00-00 00:00:00
010.162.040.096;255.255.255.224;010.162.040.127;010.162.040.126;Oerlikon_LC_RIB;zh.post.ch;RSP-Zuerich;postnet;0695;post.ch;undef;violet;---;0;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;0000-00-00 00:00:00
010.162.040.160;255.255.255.248;010.162.040.167;010.162.040.166;Oerlikon LC_TRANSIT_FW;zh.post.ch;RSP-Zuerich;postnet;0901;post.ch;undef;gray;---;0;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2015-11-11 17:29:24
010.162.040.168;255.255.255.248;010.162.040.175;010.162.040.174;Oerlikon LC_SIEMENS_FW;zh.post.ch;RSP-Zuerich;postnet;0916;post.ch;undef;gray;---;0;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2015-11-11 17:29:24
010.162.040.192;255.255.255.240;010.162.040.207;010.162.040.206;Oerlikon LC  Zuko;zh.post.ch;RSP-Zuerich;postnet;0646;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:24
010.162.040.224;255.255.255.224;010.162.040.255;010.162.040.254;Oerlikon LC Netz;zh.post.ch;RSP-Zuerich;postnet;0690;post.ch;undef;blue;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:24
010.162.041.000;255.255.255.0;010.162.041.255;010.162.041.254;Oerlikon LC IPT;zh.post.ch;RSP-Zuerich;postnet;0680;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:25
010.162.042.000;255.255.255.0;010.162.042.255;010.162.042.254;Oerlikon LC Client;zh.post.ch;RSP-Zuerich;postnet;0600;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:34
010.162.043.000;255.255.255.224;010.162.043.031;010.162.043.030;Oerlikon LC AP;zh.post.ch;RSP-Zuerich;postnet;0610;post.ch;undef;white;---;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:36
010.162.043.064;255.255.255.224;010.162.043.095;010.162.043.094;Oerlikon LC RFID_Reader;zh.post.ch;RSP-Zuerich;postnet;0625;post.ch;undef;white;---;1;0;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:36
010.162.043.184;255.255.255.248;010.162.043.191;010.162.043.190;Oerlikon LC_SIEMENS_Heartbeat;zh.post.ch;RSP-Zuerich;postnet;0974;post.ch;undef;yellow;---;1;0;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:37
010.162.043.192;255.255.255.192;010.162.043.255;010.162.043.254;Oerlikon LC_SIEMENS_Server;zh.post.ch;RSP-Zuerich;postnet;0970;post.ch;undef;yellow;---;1;0;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:37
010.162.048.000;255.255.255.252;010.162.048.003;undef;Schaffhausen Callcenter Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;undef;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:41
010.162.048.004;255.255.255.252;010.162.048.007;undef;Schaffhausen Callcenter Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;undef;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:41
