Liste;No;unknown;Act;Domain;;;;;
BcAuthWhitelist;1551799275;unknown;Add;pypi.python.org;gro.nohtyp.ipyp;;;;
BcPostWhitelist;1551799275;unknown;Add;pypi.python.org;gro.nohtyp.ipyp;;;;
BcAuthWhitelist2;1551799275;unknown;Add;pypi.python.org;gro.nohtyp.ipyp;;;;
BcAuthWhitelist;1551799341;unknown;Add;pypi.python.org;gro.nohtyp.ipyp;;;;
BcPostWhitelist;1551799341;unknown;Add;pypi.python.org;gro.nohtyp.ipyp;;;;
BcNoSSLIntercept;1551799341;unknown;Add;pypi.python.org;gro.nohtyp.ipyp;;;;
BcAuthWhitelist2;1551799275;unknown;Add;7-zip.org;gro.piz-7;;;;
BcAuthWhitelist2;1551799275;unknown;Add;repositories.sensuapp.org;gro.ppausnes.seirotisoper;;;;
BcAuthWhitelist2;1551799275;unknown;Add;eicar.org;gro.racie;;;;
BcAuthWhitelist2;1551799275;unknown;Add;go.uber.org;gro.rebu.og;;;;
BcNoSSLIntercept;1551799341;unknown;Add;go.uber.org;gro.rebu.og;;;;
BcAuthWhitelist2;1551799275;unknown;Add;nexus.hyperledger.org;gro.regdelrepyh.suxen;;;;
BcNoSSLIntercept;1551799341;unknown;Add;nexus.hyperledger.org;gro.regdelrepyh.suxen;;;;
BcAuthWhitelist2;1551799275;unknown;Add;download.gluster.org;gro.retsulg.daolnwod;;;;
BcNoSSLIntercept;1551799341;unknown;Add;download.gluster.org;gro.retsulg.daolnwod;;;;
BcAuthWhitelist2;1551799275;unknown;Add;repository.primefaces.org;gro.secafemirp.yrotisoper;;;;
BcAuthWhitelist2;1551799275;unknown;Add;api.typings.org;gro.sgnipyt.ipa;;;;
BcAuthWhitelist2;1551799275;unknown;Add;nodejs.org;gro.sjedon;;;;
BcAuthWhitelist2;1551799275;unknown;Add;registry.npmjs.org;gro.sjmpn.yrtsiger;;;;
BcNoSSLIntercept;1551799341;unknown;Add;registry.npmjs.org;gro.sjmpn.yrtsiger;;;;
BcAuthWhitelist2;1551799275;unknown;Add;rubygems.org;gro.smegybur;;;;
BcAuthWhitelist2;1551799275;unknown;Add;centos.org;gro.sotnec;;;;
BcAuthWhitelist;1551799275;unknown;Add;repository.jboss.org;gro.ssobj.yrotisoper;;;;
BcPostWhitelist;1551799275;unknown;Add;repository.jboss.org;gro.ssobj.yrotisoper;;;;
BcJavaWhitelist;1551799275;unknown;Add;repository.jboss.org;gro.ssobj.yrotisoper;;;;
BcAuthWhitelist2;1551799275;unknown;Add;repository.jboss.org;gro.ssobj.yrotisoper;;;;
BcAuthWhitelist;1551799275;unknown;Add;nexus.codehaus.org;gro.suahedoc.suxen;;;;
BcJavaWhitelist;1551799275;unknown;Add;nexus.codehaus.org;gro.suahedoc.suxen;;;;
BcAuthWhitelist2;1551799275;unknown;Add;nexus.codehaus.org;gro.suahedoc.suxen;;;;
BcAuthWhitelist2;1551799275;unknown;Add;nessus.org;gro.sussen;;;;
BcNoSSLIntercept;1551799341;unknown;Add;nessus.org;gro.sussen;;;;
BcAuthWhitelist2;1551799275;unknown;Add;fedoraproject.org;gro.tcejorparodef;;;;
BcNoSSLIntercept;1551799341;unknown;Add;fedoraproject.org;gro.tcejorparodef;;;;
BcAuthWhitelist2;1551799275;unknown;Add;yum.dockerproject.org;gro.tcejorprekcod.muy;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.nuget.org;gro.tegun.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;bitbucket.org;gro.tekcubtib;;;;
BcAuthWhitelist2;1551799275;unknown;Add;maven.restlet.org;gro.teltser.nevam;;;;
BcAuthWhitelist2;1551799275;unknown;Add;repository.mulesoft.org;gro.tfoselum.yrotisoper;;;;
BcAuthWhitelist2;1551799275;unknown;Add;ovirt.org;gro.trivo;;;;
BcNoSSLIntercept;1551799341;unknown;Add;ovirt.org;gro.trivo;;;;
BcAuthWhitelist2;1551799275;unknown;Add;license.sqltest.org;gro.tsetlqs.esnecil;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.sqltest.org;gro.tsetlqs.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;nginx.org;gro.xnign;;;;
BcAuthWhitelist2;1551799275;unknown;Add;alpinelinux.org;gro.xunilenipla;;;;
BcNoSSLIntercept;1551799341;unknown;Add;alpinelinux.org;gro.xunilenipla;;;;
BcAuthWhitelist2;1551799275;unknown;Add;archive.turnkeylinux.org;gro.xunilyeknrut.evihcra;;;;
BcAuthWhitelist2;1551799275;unknown;Add;chocolatey.org;gro.yetalocohc;;;;
BcAuthWhitelist2;1551799275;unknown;Add;dl.iuscommunity.org;gro.ytinummocsui.ld;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.haproxy.org;gro.yxorpah.www;;;;
BcNoSSLIntercept;1551799341;unknown;Add;www.haproxy.org;gro.yxorpah.www;;;;
BcNoSSLIntercept;1551799341;unknown;Add;edu.dblap2.ch;hc.2palbd.ude;;;;
BcAuthWhitelist;1551799275;unknown;Add;demo.teledata.ch;hc.atadelet.omed;;;;
BcPostWhitelist;1551799275;unknown;Add;demo.teledata.ch;hc.atadelet.omed;;;;
BcAuthWhitelist2;1551799275;unknown;Add;demo.teledata.ch;hc.atadelet.omed;;;;
BcAuthWhitelist;1551799341;unknown;Add;demo.teledata.ch;hc.atadelet.omed;;;;
