date,time,duration,in_bytes,out_bytes
2018-02-15,01:12:00,48770.3,50373229,807264
2018-02-15,01:13:00,70713.1,60991989,2357832
2018-02-15,01:14:00,51680.8,47569736,1061201
2018-02-15,01:15:00,33137.1,57023007,1752573
2018-02-15,01:16:00,69034,55793198,1026939
2018-02-15,01:17:00,202940,47158565,807332
2018-02-15,01:18:00,50116.6,56971851,1917601
2018-02-15,01:19:00,49823.9,61388876,2216765
2018-02-15,01:20:00,12056.4,47993631,3650965
2018-02-15,01:21:00,29070.5,45838569,1074466
2018-02-15,01:22:00,16482.5,63814410,1937058
2018-02-15,01:23:00,76807,40469747,1270590
2018-02-15,01:24:00,90323,62193809,1930833
2018-02-15,01:25:00,58624.1,46020886,1117941
2018-02-15,01:26:00,30444,50465968,2661549
2018-02-15,01:27:00,29713.8,34675891,3617215
2018-02-15,01:28:00,80982.5,34995167,2473750
2018-02-15,01:29:00,67393,37472533,990186
2018-02-15,01:30:00,113691,32122484,992101
2018-02-15,01:31:00,85055.9,35425724,652859
2018-02-15,01:32:00,102616,34214109,538646
2018-02-15,01:33:00,103837,35702675,776235
2018-02-15,01:34:00,171267,48970307,826531
2018-02-15,01:35:00,63515,50624765,926985
2018-02-15,01:36:00,42954.6,46750737,762504
2018-02-15,01:37:00,186911,49466692,886316
2018-02-15,01:38:00,189360,47062806,838342
2018-02-15,01:39:00,103902,53594168,847044
2018-02-15,01:40:00,105336,46214669,788564
2018-02-15,01:41:00,53510.5,45715602,722912
2018-02-15,01:42:00,140768,49161796,850500
2018-02-15,01:43:00,129699,51211300,948744
2018-02-15,01:44:00,46560.4,45250850,794079
2018-02-15,01:45:00,31153.6,46241062,749477
2018-02-15,01:46:00,46517,47157562,743045
2018-02-15,01:47:00,49676.3,46217533,937820
2018-02-15,01:48:00,106789,46037211,605887
2018-02-15,01:49:00,18260,53115993,1701197
2018-02-15,01:50:00,74437.7,49664986,762952
2018-02-15,01:51:00,14633.3,51628050,1072830
2018-02-15,01:52:00,84705.6,49817251,879495
2018-02-15,01:53:00,39110.7,57170909,884119
2018-02-15,01:54:00,93944.6,50860214,1164900
2018-02-15,01:55:00,44141.1,52763754,1243027
2018-02-15,01:56:00,148623,57566207,1352342
2018-02-15,01:57:00,59699.5,58914743,1824877
2018-02-15,01:58:00,39982.2,76399724,1057473
2018-02-15,01:59:00,62514.4,55856099,1368406
2018-02-15,02:00:00,37912,49257388,1379223
2018-02-15,02:01:00,84006.2,40657512,813017
2018-02-15,02:02:00,123736,24644013,959971
2018-02-15,02:03:00,46125.9,33614468,1385358
2018-02-15,02:04:00,163923,56838949,1159998
2018-02-15,02:05:00,121788,26438469,1056639
2018-02-15,02:06:00,178272,24798606,660282
2018-02-15,02:07:00,32975.9,37456748,1289611
2018-02-15,02:08:00,52001.5,28410330,1039149
2018-02-15,02:09:00,137784,25177691,1090023
2018-02-15,02:10:00,90907.1,30598469,991029
2018-02-15,02:11:00,121844,23039504,703351
2018-02-15,02:12:00,86261.6,23008471,642168
2018-02-15,02:13:00,58189.1,30538353,693486
2018-02-15,02:14:00,177428,22594652,691246
2018-02-15,02:15:00,71649.1,23584461,660274
2018-02-15,02:16:00,41159.6,23166211,820544
2018-02-15,02:17:00,322987,24698002,948634
2018-02-15,02:18:00,131099,27141785,871560
2018-02-15,02:19:00,66510.3,17972392,1002171
2018-02-15,02:20:00,53402.3,16776647,1169688
2018-02-15,02:21:00,55299.8,19301928,1353505
2018-02-15,02:22:00,127109,20230344,929911
2018-02-15,02:23:00,100556,37958799,1086500
2018-02-15,02:24:00,56204.2,47590799,1132100
2018-02-15,02:25:00,93891.3,18130195,884667
2018-02-15,02:26:00,124823,14114057,1125005
2018-02-15,02:27:00,98417.9,18896769,748089
2018-02-15,02:28:00,106439,12974523,613920
2018-02-15,02:29:00,116909,17075434,1109344
2018-02-15,02:30:00,412136,12866443,948494
2018-02-15,02:31:00,290692,18217506,712182
2018-02-15,02:32:00,1.3156e+06,148129467,7759036
2018-02-15,02:33:00,120971,101825485,987229
2018-02-15,02:34:00,74984.5,28324004,1916223
2018-02-15,02:35:00,100801,15669799,1904104
2018-02-15,02:36:00,169259,17734010,764305
2018-02-15,02:37:00,123778,15803543,1364380
2018-02-15,02:38:00,68651.6,12595718,503940
2018-02-15,02:39:00,44944.6,14374040,769261
2018-02-15,02:40:00,52744.9,12762866,721366
2018-02-15,02:41:00,134283,8115013,1110671
2018-02-15,02:42:00,172804,12290061,790038
2018-02-15,02:43:00,165262,2272300,646408
2018-02-15,02:44:00,48796.5,5543867,677361
2018-02-15,02:45:00,157798,11436952,1026953
2018-02-15,02:46:00,46449.9,10949766,636232
2018-02-15,02:47:00,102839,2426217,690114
2018-02-15,02:48:00,131405,11424828,748191
2018-02-15,02:49:00,91902,8522336,1033466
2018-02-15,02:50:00,31580,13527458,692236
2018-02-15,02:51:00,23851,38722000,1400542
2018-02-15,02:52:00,87729.5,13811600,1229678
2018-02-15,02:53:00,141881,5537788,878412
2018-02-15,02:54:00,76932.7,15060998,1446441
2018-02-15,02:55:00,60912.5,59092808,723939
2018-02-15,02:56:00,30881.3,42806755,900584
2018-02-15,02:57:00,84247,31050242,791972
2018-02-15,02:58:00,249947,19260057,875538
2018-02-15,02:59:00,131810,46242916,1280491
2018-02-15,03:00:00,155271,75053643,807772
2018-02-15,03:01:00,122317,42318097,998139
2018-02-15,03:02:00,70520.7,21991298,1102314
2018-02-15,03:03:00,25586.4,22184301,1226172
2018-02-15,03:04:00,128071,19007569,1455757
2018-02-15,03:05:00,54445.4,14934246,1273630
2018-02-15,03:06:00,63086.4,24755134,1872480
2018-02-15,03:07:00,42017.1,35366988,1372063
2018-02-15,03:08:00,30615.3,27720246,886102
2018-02-15,03:09:00,98178.4,46022014,1138720
2018-02-15,03:10:00,56248.5,46065405,1025416
2018-02-15,03:11:00,25362.1,47457970,1017919
2018-02-15,03:12:00,80994.5,74491661,2871498
2018-02-15,03:13:00,67781.2,61014187,1296077
2018-02-15,03:14:00,17529.1,76784299,1325082
2018-02-15,03:15:00,43273.8,70274475,1571041
2018-02-15,03:16:00,56674,82834109,1342108
2018-02-15,03:17:00,52780.3,81275356,1320603
2018-02-15,03:18:00,79531.2,71433729,1406642
2018-02-15,03:19:00,41052,65937113,1021866
2018-02-15,03:20:00,56016.9,62908411,710329
2018-02-15,03:21:00,25971.9,61228566,1111729
2018-02-15,03:22:00,59016.4,54420201,1420269
2018-02-15,03:23:00,22337,48037043,1082943
2018-02-15,03:24:00,69564,51343100,1125506
2018-02-15,03:25:00,104936,51004147,957682
2018-02-15,03:26:00,117596,40604117,782593
2018-02-15,03:27:00,43972.8,45976007,741720
2018-02-15,03:28:00,35501.8,55239945,1866329
2018-02-15,03:29:00,47931.4,51318709,818462
2018-02-15,03:30:00,70606.7,51058433,1412554
2018-02-15,03:31:00,425568,67606096,1188573
2018-02-15,03:32:00,113887,38727288,861732
2018-02-15,03:33:00,140643,30339445,700760
2018-02-15,03:34:00,26124.2,29437893,1304758
2018-02-15,03:35:00,38953.4,44212660,1832538
2018-02-15,03:36:00,71032.7,492643638,3009849
2018-02-15,03:37:00,93072.7,45018677,2349689
2018-02-15,03:38:00,97358.7,59942144,3992676
2018-02-15,03:39:00,48857.3,49641720,3765025
2018-02-15,03:40:00,23120.5,44883081,1909546
2018-02-15,03:41:00,27818,59740843,1276104
2018-02-15,03:42:00,120356,67265534,1218097
2018-02-15,03:43:00,170559,44552907,1300611
2018-02-15,03:44:00,77759.1,48812654,805918
2018-02-15,03:45:00,26169.5,41977309,1792960
2018-02-15,03:46:00,88755.6,43047633,720909
2018-02-15,03:47:00,97951.1,55223311,719669
2018-02-15,03:48:00,56160,48750252,746139
2018-02-15,03:49:00,48400.5,49667118,816255
2018-02-15,03:50:00,36902.4,56324799,755822
2018-02-15,03:51:00,109494,63071487,751893
2018-02-15,03:52:00,199136,55915232,788334
2018-02-15,03:53:00,168917,52346705,544607
2018-02-15,03:54:00,500089,57422007,885856
2018-02-15,03:55:00,57391.1,56527612,902195
2018-02-15,03:56:00,58053.5,63341584,932929
2018-02-15,03:57:00,66131.1,59444836,1520718
2018-02-15,03:58:00,102909,60000307,1139418
2018-02-15,03:59:00,37381.1,80251763,1654537
2018-02-15,04:00:00,93716,118185999,1358849
2018-02-15,04:01:00,84014.6,50290387,789261
2018-02-15,04:02:00,74663.1,38707006,1126459
2018-02-15,04:03:00,126593,31706456,845049
